algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.009916346000000001,1.5366049879324215,20.931034088134766,5915,33,44,InfiniteSteps180,0,111,44,9,origA1,48,1910,565,111,1,19.830398,SatDddSclTotalizer,0.009505538,0.019421099,29,29,75,44
0.017771758000000006,3.045128205128205,19.0,3735,33,51,InfiniteSteps180,1,165,51,25,origA2,293,2969,1566,165,1,49.616914,SatDddSclTotalizer,0.031566631,0.049337642,25,116,42,51
0.00571398,1.9836065573770492,22.375,2061,33,21,InfiniteSteps180,2,93,21,11,origA3,54,1452,612,92,2,13.157107,SatDddSclTotalizer,0.007321805,0.013035145,16,29,56,21
0.004814664,2.2010869565217392,19.214284896850586,1175,33,25,InfiniteSteps180,3,98,25,10,origA4,38,1215,569,97,1,13.2947,SatDddSclTotalizer,0.008362278,0.01317623,14,23,69,25
0.004436344,2.1223628691983123,19.25,876,33,24,InfiniteSteps180,4,103,24,10,origA5,32,1006,460,103,1,12.624786,SatDddSclTotalizer,0.008007783,0.012443151,12,19,78,24
0.002780309,1.8529411764705883,18.625,307,33,14,InfiniteSteps180,5,68,14,6,origA6,12,567,227,68,1,7.9189,SatDddSclTotalizer,0.004986084,0.007765634,8,8,55,14
0.002219457,2.0952380952380953,12.625,126,33,15,InfiniteSteps180,6,67,15,6,origA7,16,440,180,66,1,6.761649,SatDddSclTotalizer,0.00447761,0.006696402,8,7,53,15
0.07380199399999998,9.042572463768115,19.214284896850586,4877,33,260,InfiniteSteps180,7,547,260,112,origA8,3881,9983,5319,547,70,358.938755,SatDddSclTotalizer,0.283591077,0.3573923,28,466,2,260
0.008473118,2.2457420924574207,20.049999237060547,2616,33,48,InfiniteSteps180,8,96,48,15,origA9,82,1846,851,96,1,18.939235,SatDddSclTotalizer,0.010277066,0.018749461,20,31,58,48
0.007427639999999999,2.3149606299212597,18.176469802856445,1632,33,45,InfiniteSteps180,9,106,45,11,origA10,92,1470,687,106,2,18.439924,SatDddSclTotalizer,0.010843536,0.018270407,17,41,57,45
0.014758477,2.0991803278688526,19.83333396911621,6162,33,65,InfiniteSteps180,10,119,65,18,origA11,165,2561,1024,119,1,29.553778,SatDddSclTotalizer,0.014534132,0.029291948,30,61,51,65
0.016551059,2.310289389067524,21.714284896850586,6393,33,78,InfiniteSteps180,11,136,78,12,origA12,174,2874,1297,136,2,36.77379,SatDddSclTotalizer,0.019897613,0.036448009,28,68,59,78
0.0029111220000000004,1.1884735202492211,17.33333396911621,2022,25,7,InfiniteSteps180,12,49,7,4,origB1,6,763,107,49,1,7.193719,SatDddSclTotalizer,0.003734851,0.006645057,18,4,41,7
0.0016572940000000001,1.4183006535947713,14.800000190734863,87,25,5,InfiniteSteps180,13,49,5,3,origB2,2,217,58,49,1,5.654162,SatDddSclTotalizer,0.003918151,0.005573872,5,1,45,5
0.00178679,2.086705202312139,16.799999237060547,136,20,7,InfiniteSteps180,14,40,7,7,origB3,13,361,152,40,1,5.279335,SatDddSclTotalizer,0.003424227,0.005209508,5,7,30,7
0.0068940580000000015,2.6595744680851063,15.949999809265137,2246,25,306,InfiniteSteps180,15,71,306,26,origB4,284,1750,632,71,1,16.862278,SatDddSclTotalizer,0.009737158,0.016630439,20,52,11,306
0.001138937,1.278688524590164,17.799999237060547,136,25,2,InfiniteSteps180,16,40,2,3,origB5,2,234,45,40,1,3.957025,SatDddSclTotalizer,0.002763779,0.003901754,5,1,36,2
0.0010532369999999998,1.2802547770700636,15.199999809265137,93,25,2,InfiniteSteps180,17,32,2,3,origB6,2,201,38,31,1,3.231095,SatDddSclTotalizer,0.002111382,0.003163543,5,1,29,2
0.013068739000000001,4.0621693121693125,15.25,2865,25,386,InfiniteSteps180,18,73,386,46,origB7,706,3071,1181,73,1,29.227858,SatDddSclTotalizer,0.015558549,0.028626599,24,64,0,386
0.0005251330000000001,1.1151079136690647,13.399999618530273,72,25,6,InfiniteSteps180,19,15,6,2,origB8,1,155,12,15,1,1.692479,SatDddSclTotalizer,0.001080427,0.00160495,5,0,12,6
0.004277971,4.131979695431472,13.571428298950195,150,25,36,InfiniteSteps180,20,82,36,13,origB9,38,814,517,82,1,12.502873,SatDddSclTotalizer,0.008099395,0.012376644,7,25,52,36
0.001240694,2.0473684210526315,11.375,130,25,41,InfiniteSteps180,21,21,41,6,origB10,24,389,137,21,1,2.94016,SatDddSclTotalizer,0.001624369,0.002864417,8,9,6,41
0.014863474999999998,3.8654088050314463,15.399999618530273,3202,25,440,InfiniteSteps180,22,85,440,49,origB11,729,3073,1154,85,1,33.165347,SatDddSclTotalizer,0.017725241,0.032588029,25,76,0,440
0.004601588,1.5384615384615385,16.214284896850586,970,25,6,InfiniteSteps180,23,69,6,7,origB12,16,720,214,68,1,11.675367,SatDddSclTotalizer,0.006973649,0.011574565,14,11,54,6
0.043177244999999975,6.121480289621883,20.931034088134766,5915,33,125,InfiniteSteps180,24,88,125,21,trackA1,919,7609,4709,88,1,456.988585,SatDddSclTotalizer,0.412690194,0.455866682,29,81,0,125
0.038877049,7.996923076923077,19.0,3735,33,88,InfiniteSteps180,25,107,88,39,trackA2,1211,7797,4771,107,1,256.239184,SatDddSclTotalizer,0.216448717,0.255324994,25,100,0,88
0.021043848999999996,6.073770491803279,22.375,2061,33,32,InfiniteSteps180,26,110,32,28,trackA3,469,4446,2854,110,1,74.728771,SatDddSclTotalizer,0.053282268,0.074325272,16,96,9,32
0.008883890000000002,3.9565217391304346,19.214284896850586,1175,33,23,InfiniteSteps180,27,101,23,17,trackA4,160,2184,1295,101,1,25.41836,SatDddSclTotalizer,0.016340181,0.025223447,14,63,33,23
0.005703922,2.7911392405063293,19.25,876,33,21,InfiniteSteps180,28,92,21,15,trackA5,96,1323,652,92,1,16.786866,SatDddSclTotalizer,0.010939831,0.016642956,12,47,42,21
0.002145093,2.042483660130719,18.625,307,33,13,InfiniteSteps180,29,46,13,6,trackA6,22,625,265,46,1,5.942755,SatDddSclTotalizer,0.003634318,0.005778261,8,13,29,13
0.0024183829999999996,2.6142857142857143,12.625,126,33,10,InfiniteSteps180,30,55,10,6,trackA7,24,549,268,55,1,7.500842,SatDddSclTotalizer,0.004997566,0.007415155,8,14,37,10
0.13127973000000281,24.184377838328793,19.88888931274414,4862,33,212,InfiniteSteps180,31,168,212,135,trackA8,6897,26627,14303,168,1,60864.504428,SatDddSclTotalizer,53.883316062,54.014594886,27,160,0,212
0.025157967000000003,6.396593673965937,20.049999237060547,2616,33,75,InfiniteSteps180,32,85,75,28,trackA9,643,5258,3264,85,1,106.702858,SatDddSclTotalizer,0.080970366,0.106127384,20,77,1,75
0.008579448,3.3149606299212597,18.176469802856445,1632,33,49,InfiniteSteps180,33,64,49,15,trackA10,183,2105,1114,64,1,19.70627,SatDddSclTotalizer,0.010899058,0.019477841,17,56,2,49
0.18955124400000045,30.587510271158585,20.482759475708008,6144,33,233,InfiniteSteps180,34,227,233,270,trackA11,11394,37225,18827,227,1,159912.777204,SatDddSclTotalizer,143.042570387,143.232120281,29,219,0,233
