algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.615488,1.6001609010458568,20.931034088134766,5915,33,6771,Continuous,0,84,6771,11,origA1,61,1989,624,84,1,630.6757640000001,SatDddScl,0.014054073,ok,0.629541373,29,32,39,6771
0.038710839,1.4882051282051283,19.0,3735,33,5882,Continuous,1,39,5882,8,origA2,46,1451,367,39,1,53.412584,SatDddScl,0.013862403,ok,0.052572615,25,21,5,5882
0.018285676,1.6666666666666667,22.375,2061,33,1329,Continuous,2,61,1329,7,origA3,32,1220,410,61,1,25.458802,SatDddScl,0.006763295,ok,0.025048401,16,20,30,1329
0.016269772,1.6394927536231885,19.214284896850586,1175,33,2706,Continuous,3,51,2706,6,origA4,21,905,293,51,1,21.487906000000002,SatDddScl,0.004956081,ok,0.021225318,14,12,27,2706
0.013398494,1.2531645569620253,19.25,876,33,2634,Continuous,4,27,2634,4,origA5,12,594,82,27,1,15.445738,SatDddScl,0.001941808,ok,0.015339809,12,5,10,2634
0.014833304,1.9869281045751634,18.625,307,33,2154,Continuous,5,67,2154,9,origA6,18,608,258,67,1,21.31313,SatDddScl,0.006245538,ok,0.021078244,8,14,41,2154
0.016392892,3.2333333333333334,12.625,126,33,1918,Continuous,6,68,1918,11,origA7,31,679,391,68,1,26.334545000000002,SatDddScl,0.009655518,ok,0.026047884,8,18,39,1918
0.052971945000000006,2.5760869565217392,19.214284896850586,4877,33,23648,Continuous,7,45,23648,21,origA8,232,2844,1209,45,1,68.425239,SatDddScl,0.014135128,ok,0.067106426,28,30,0,23648
0.030773934000000003,1.7773722627737227,20.049999237060547,2616,33,6574,Continuous,8,44,6574,16,origA9,83,1461,460,44,1,37.066766,SatDddScl,0.005760253,ok,0.036533678,20,30,1,6574
0.020277167999999998,1.7748031496062993,18.176469802856445,1632,33,4746,Continuous,9,40,4746,7,origA10,46,1127,384,40,1,25.766806,SatDddScl,0.005024841,ok,0.025301411,17,15,12,4746
0.050684039,1.8090163934426229,19.83333396911621,6162,33,5090,Continuous,10,50,5090,10,origA11,98,2207,767,50,1,62.508279,SatDddScl,0.010928466,ok,0.061611922,30,27,10,5090
0.056707767000000006,1.855305466237942,21.714284896850586,6393,33,4950,Continuous,11,48,4950,10,origA12,116,2308,825,48,1,76.883333,SatDddScl,0.018576654,ok,0.07528376,28,32,3,4950
0.013473419,1.205607476635514,17.33333396911621,2022,25,969,Continuous,12,43,969,5,origB1,8,774,114,43,1,16.769450000000003,SatDddScl,0.003179254,ok,0.016651969,18,6,27,969
0.012727072999999998,1.4183006535947713,14.800000190734863,87,25,347,Continuous,13,55,347,3,origB2,2,217,58,55,1,17.309107,SatDddScl,0.004515899,ok,0.017242202,5,1,45,347
0.012729693,1.7283236994219653,16.799999237060547,136,20,629,Continuous,14,39,629,5,origB3,9,299,98,39,1,16.253751,SatDddScl,0.003425201,ok,0.01615429,5,5,24,629
0.022159302,2.223404255319149,15.949999809265137,2246,25,53651,Continuous,15,46,53651,20,origB4,165,1463,466,46,1,34.708527000000004,SatDddScl,0.01201558,ok,0.034174299,20,30,0,53651
0.012363952000000001,1.284153005464481,17.799999237060547,136,25,288,Continuous,16,46,288,3,origB5,2,235,46,46,1,15.851418999999998,SatDddScl,0.003413264,ok,0.015776568,5,1,36,288
0.012079013,1.3184713375796178,15.199999809265137,93,25,176,Continuous,17,44,176,3,origB6,2,207,44,44,1,14.996001,SatDddScl,0.002861358,ok,0.014939773,5,1,35,176
0.08601157300000001,2.6005291005291005,15.25,2865,25,66037,Continuous,18,41,66037,26,origB7,319,1966,617,41,1,247.38342999999998,SatDddScl,0.154992628,ok,0.241003651,24,24,0,66037
0.012351338,1.2877697841726619,13.399999618530273,72,25,676,Continuous,19,46,676,2,origB8,1,179,36,46,1,15.066246999999999,SatDddScl,0.002654109,ok,0.015004854,5,0,36,676
0.014022112,2.3959390862944163,13.571428298950195,150,25,5969,Continuous,20,45,5969,7,origB9,22,472,213,45,1,17.44341,SatDddScl,0.003237816,ok,0.017259305,7,11,21,5969
0.014658496,2.957894736842105,11.375,130,25,5747,Continuous,21,42,5747,11,origB10,32,562,290,42,1,19.157919999999997,SatDddScl,0.004296185,ok,0.018954153,8,17,12,5747
0.07976971000000001,2.4742138364779875,15.399999618530273,3202,25,75744,Continuous,22,38,75744,24,origB11,306,1967,526,38,1,180.484891,SatDddScl,0.09401691,ok,0.173785372,25,21,0,75744
0.013471294,1.2991452991452992,16.214284896850586,970,25,918,Continuous,23,39,918,5,origB12,12,608,112,39,1,16.663693,SatDddScl,0.003048034,ok,0.016518712,14,7,22,918
0.077848141,2.6331456154465003,20.931034088134766,5915,33,10105,Continuous,24,38,10105,10,trackA1,243,3273,1428,38,1,122.45394,SatDddScl,0.040531342,ok,0.118378855,29,24,0,10105
0.209331347,4.204102564102564,19.0,3735,33,7912,Continuous,25,57,7912,21,trackA2,397,4099,2197,57,1,7173.098691,SatDddScl,6.943592629,ok,7.15292334,25,44,0,7912
0.03869829899999999,3.1434426229508197,22.375,2061,33,2148,Continuous,26,51,2148,13,trackA3,144,2301,1220,51,1,292.997928,SatDddScl,0.252056895,ok,0.290754667,16,35,4,2148
0.021466108000000005,2.6920289855072466,19.214284896850586,1175,33,2103,Continuous,27,54,2103,10,trackA4,79,1486,738,54,1,34.877038999999996,SatDddScl,0.012774586,ok,0.034240218,14,29,13,2103
0.027784118000000003,2.462025316455696,19.25,876,33,2773,Continuous,28,52,2773,10,trackA5,74,1167,524,52,1,59.998185,SatDddScl,0.030765307,ok,0.058548719,12,28,12,2773
0.016134269,2.4313725490196076,18.625,307,33,1760,Continuous,29,71,1760,10,trackA6,27,744,376,71,1,24.548181,SatDddScl,0.00814323,ok,0.024277024,8,15,45,1760
0.016387169,2.538095238095238,12.625,126,33,1393,Continuous,30,55,1393,6,trackA7,28,533,246,55,1,23.862468,SatDddScl,0.007103308,ok,0.023489968,8,14,30,1393
0.8751877640000032,8.754768392370572,19.88888931274414,4862,33,,Continuous,31,58,33612,54,trackA8,1516,9639,5303,58,1,120083.75915499999,SatDddScl,119.130151773,timeout,120.005337954,27,52,0,34696
0.16224126399999994,4.194647201946472,20.049999237060547,2616,33,6955,Continuous,32,60,6955,17,trackA9,330,3448,1925,60,1,3618.9056429999996,SatDddScl,3.441201631,ok,3.603442209,20,46,1,6955
0.017625288000000003,1.6220472440944882,18.176469802856445,1632,33,4812,Continuous,33,25,4812,8,trackA10,61,1030,227,25,1,20.968431,SatDddScl,0.002968164,ok,0.020592748,17,12,0,4812
0.9807905989999881,11.027115858668857,20.482759475708008,6144,33,,Continuous,34,67,16965,121,trackA11,2524,13420,6901,67,1,120100.773633,SatDddScl,119.031241773,timeout,120.012031715,29,64,0,22619
1.5990617539999903,11.657556270096464,21.714284896850586,6393,33,,Continuous,35,67,14752,110,trackA12,2812,14502,7450,67,1,122712.321617,SatDddScl,120.979881918,timeout,122.578942948,28,65,0,29503
0.5931003490000001,1.9143302180685358,17.33333396911621,2022,25,1507,Continuous,36,36,1507,7,trackB1,52,1229,421,36,1,597.812507,SatDddScl,0.004290842,ok,0.5973906,18,13,12,1507
0.014156526,1.9019607843137254,14.800000190734863,87,25,5004,Continuous,37,25,5004,6,trackB2,17,291,94,25,1,16.864222,SatDddScl,0.002395773,ok,0.016551716,5,7,5,5004
0.014162095000000001,2.994219653179191,16.799999237060547,136,20,596,Continuous,38,54,596,11,trackB3,38,518,263,54,1,19.561015,SatDddScl,0.005182523,ok,0.01934413,5,21,23,596
0.036067397,2.311550151975684,15.949999809265137,2246,25,61031,Continuous,39,33,61031,15,trackB4,129,1521,545,33,1,47.639247000000005,SatDddScl,0.009320642,ok,0.045387372,20,17,0,61031
0.023454122999999997,4.109289617486339,17.799999237060547,136,25,2490,Continuous,40,81,2490,11,trackB5,48,752,461,81,1,45.741036,SatDddScl,0.02113369,ok,0.044587369,5,22,47,2490
0.012162201,1.5605095541401275,15.199999809265137,93,25,209,Continuous,41,33,209,4,trackB6,6,245,66,33,1,14.404573000000001,SatDddScl,0.002183641,ok,0.01434522,5,2,23,209
0.04397323,2.2738095238095237,15.25,2865,25,56761,Continuous,42,32,56761,10,trackB7,118,1719,625,32,1,65.826228,SatDddScl,0.018947726,ok,0.062920426,24,15,1,56761
0.015218964,2.287769784172662,13.399999618530273,72,25,1906,Continuous,43,47,1906,6,trackB8,12,318,143,47,1,20.267275,SatDddScl,0.00472791,ok,0.019946247,5,6,30,1906
0.014983237,3.6294416243654823,13.571428298950195,150,25,8874,Continuous,44,33,8874,16,trackB9,88,715,272,33,1,18.855279999999997,SatDddScl,0.003467563,ok,0.018450232,7,18,1,8874
0.013707155000000002,1.6631016042780749,12.857142448425293,126,25,6912,Continuous,45,49,6912,4,trackB10,8,311,96,49,1,17.652923,SatDddScl,0.003777698,ok,0.017484358,7,3,33,6912
0.034503058999999996,2.0251572327044025,15.399999618530273,3202,25,69208,Continuous,46,32,69208,9,trackB11,95,1610,507,32,1,46.697455,SatDddScl,0.010697324,ok,0.045199766,25,15,0,69208
0.021674322,1.876068376068376,16.214284896850586,970,25,19676,Continuous,47,26,19676,14,trackB12,63,878,224,26,1,25.610176,SatDddScl,0.003327521,ok,0.025001186,14,11,0,19676
0.12303259900000002,3.738535800482703,20.931034088134766,5915,33,14121,Continuous,48,43,14121,18,stationA1,447,4647,2371,43,1,378.411959,SatDddScl,0.248233757,ok,0.371265694,29,29,0,14121
0.38842666200000053,6.24923076923077,19.0,3735,33,,Continuous,49,63,9663,28,stationA2,780,6093,3589,63,1,120218.110407,SatDddScl,119.781904214,timeout,120.17033023,25,57,0,9974
0.04193354599999999,3.3811475409836067,22.375,2061,33,3730,Continuous,50,58,3730,13,stationA3,161,2475,1358,58,1,291.275661,SatDddScl,0.247046033,ok,0.28897911,16,38,8,3730
0.03676727699999999,3.4221014492753623,19.214284896850586,1175,33,3516,Continuous,51,80,3516,16,stationA4,102,1889,1085,80,1,148.766364,SatDddScl,0.110276756,ok,0.147043526,14,51,17,3516
0.04650143500000001,3.660337552742616,19.25,876,33,3306,Continuous,52,68,3306,21,stationA5,143,1735,958,68,1,130.130167,SatDddScl,0.080378062,ok,0.126878913,12,54,2,3306
0.014915775,2.1437908496732025,18.625,307,33,2149,Continuous,53,42,2149,9,stationA6,31,656,266,42,1,18.941953,SatDddScl,0.003781986,ok,0.018697309,8,17,13,2149
0.016959185,2.4714285714285715,12.625,126,33,1762,Continuous,54,53,1762,7,stationA7,25,519,240,53,1,27.001717000000003,SatDddScl,0.009684474,ok,0.026643104,8,13,29,1762
0.4492679680000009,7.789282470481381,19.88888931274414,4862,33,,Continuous,55,60,30809,40,stationA8,1256,8576,4527,59,1,127071.86380800001,SatDddScl,126.575191905,timeout,127.024458732,27,45,0,30810
0.1951581969999996,4.237226277372263,20.049999237060547,2616,33,8176,Continuous,56,55,8176,18,stationA9,322,3483,1956,55,1,2674.286111,SatDddScl,2.460029125,ok,2.655186723,20,41,1,8176
0.093945165,3.2708661417322835,18.176469802856445,1632,33,7272,Continuous,57,52,7272,18,stationA10,202,2077,1013,52,1,567.467486,SatDddScl,0.466847545,ok,0.560792135,17,39,0,7272
0.9728020430000015,8.617912900575185,20.482759475708008,6144,33,,Continuous,58,53,22002,79,stationA11,1875,10488,5285,53,1,120169.00475200001,SatDddScl,119.097231841,timeout,120.070033135,29,48,0,23468
1.7778652060000013,10.405948553054662,21.714284896850586,6393,33,,Continuous,59,57,21853,78,stationA12,2264,12945,6587,57,1,121069.614883,SatDddScl,119.179723655,timeout,120.957587982,28,53,0,24974
0.069515567,3.3878504672897196,17.33333396911621,2022,25,5016,Continuous,60,50,5016,12,stationB1,174,2175,1126,50,1,422.92108299999995,SatDddScl,0.348737758,ok,0.418252877,18,34,3,5016
0.013052402,1.6209150326797386,14.800000190734863,87,25,4837,Continuous,61,22,4837,4,stationB2,14,248,53,22,1,15.729229,SatDddScl,0.002513332,ok,0.01556523,5,5,4,4837
0.017523871,4.46242774566474,16.799999237060547,136,20,674,Continuous,62,67,674,12,stationB3,56,772,453,67,1,29.412466000000002,SatDddScl,0.011423137,ok,0.028946447,5,23,34,674
0.10414878699999996,4.322188449848024,15.949999809265137,2246,25,62703,Continuous,63,52,62703,27,stationB4,306,2844,1532,52,1,638.285024,SatDddScl,0.524445679,ok,0.628593831,20,36,0,62703
0.025830307,5.043715846994536,17.799999237060547,136,25,1900,Continuous,64,78,1900,16,stationB5,79,923,564,78,1,57.015967,SatDddScl,0.029836826,ok,0.055666589,5,28,39,1900
0.013760448000000002,2.070063694267516,15.199999809265137,93,25,461,Continuous,65,55,461,4,stationB6,9,325,140,55,1,18.549972,SatDddScl,0.004593772,ok,0.018353638,5,4,42,461
0.1784941990000002,4.022486772486772,15.25,2865,25,59865,Continuous,66,47,59865,18,stationB7,301,3041,1599,47,1,3235.121675,SatDddScl,3.037564855,ok,3.216058338,24,31,0,59865
0.013944062999999998,2.316546762589928,13.399999618530273,72,25,2300,Continuous,67,43,2300,5,stationB8,12,322,149,43,1,17.682607,SatDddScl,0.003546992,ok,0.017490386,5,7,24,2300
0.0169178,2.8274111675126905,13.571428298950195,150,25,12006,Continuous,68,47,12006,9,stationB9,44,557,258,47,1,22.712303,SatDddScl,0.005384634,ok,0.022301984,7,25,8,12006
0.013376018,1.4866310160427807,12.857142448425293,126,25,8761,Continuous,69,43,8761,4,stationB10,5,278,75,43,1,17.829418,SatDddScl,0.004251492,ok,0.0176269,7,2,27,8761
0.30752962600000444,5.438993710691824,15.399999618530273,3202,25,73988,Continuous,70,59,73988,26,stationB11,506,4324,2433,59,1,32238.929051,SatDddScl,31.894032941,ok,32.201561743,25,42,0,73988
0.19244181699999996,3.9722222222222223,16.214284896850586,970,25,23789,Continuous,71,48,23789,24,stationB12,250,1859,849,48,1,1741.263137,SatDddScl,1.522478872,ok,1.714920084,14,33,0,23789
