algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.042213863,1.5567176186645213,20.931034088134766,5915,33,16,FiniteSteps123,0,113,16,11,origA1,46,1935,596,113,3,53.54337700000001,SatDddScl,0.010327755,ok,0.052541042,29,27,80,16
0.024881583,1.4246153846153846,19.0,3735,33,25,FiniteSteps123,1,30,25,9,origA2,52,1389,281,30,1,27.683411000000003,SatDddScl,0.002647823,ok,0.02752883,25,20,5,25
0.016820415,1.889344262295082,22.375,2061,33,10,FiniteSteps123,2,95,10,9,origA3,40,1383,567,94,1,25.030481,SatDddScl,0.008058399,ok,0.02487828,16,22,68,10
0.014445811000000001,1.6485507246376812,19.214284896850586,1175,33,17,FiniteSteps123,3,57,17,7,origA4,22,910,296,57,1,18.848754,SatDddScl,0.004275151,ok,0.01872039,14,10,42,17
0.014126473,1.8860759493670887,19.25,876,33,15,FiniteSteps123,4,59,15,7,origA5,37,894,350,59,1,18.668513,SatDddScl,0.004435827,ok,0.018561713,12,21,34,15
0.012870429,1.473856209150327,18.625,307,33,10,FiniteSteps123,5,59,10,3,origA6,6,451,123,59,1,16.683148,SatDddScl,0.003730811,ok,0.016600517,8,2,53,10
0.011240297,1.0952380952380953,12.625,126,33,10,FiniteSteps123,6,4,10,2,origA7,5,230,0,4,1,11.594148,SatDddScl,0.000282203,ok,0.011521891,8,0,0,10
0.032900011,2.496376811594203,19.214284896850586,4877,33,34,FiniteSteps123,7,36,34,15,origA8,226,2756,1145,36,1,39.000698,SatDddScl,0.005838245,ok,0.038737646,28,30,0,34
0.021912315,1.0340632603406326,20.049999237060547,2616,33,18,FiniteSteps123,8,5,18,3,origA9,7,850,0,5,1,22.421964,SatDddScl,0.000436321,ok,0.022348142,20,0,0,18
0.016682198000000002,2.3496062992125983,18.176469802856445,1632,33,17,FiniteSteps123,9,71,17,13,origA10,61,1492,709,70,1,23.66324,SatDddScl,0.006848226,ok,0.023529706,17,32,33,17
0.055357158000000004,3.037704918032787,19.83333396911621,6162,33,33,FiniteSteps123,10,139,33,30,origA11,269,3706,1970,138,2,89.23271700000001,SatDddScl,0.03342966,ok,0.088786214,30,95,37,33
0.04832119,2.4581993569131835,21.714284896850586,6393,33,31,FiniteSteps123,11,82,31,14,origA12,179,3058,1448,81,1,62.535379,SatDddScl,0.013856065,ok,0.062176772,28,57,18,31
0.011388609999999999,1.0124610591900312,17.33333396911621,2022,25,4,FiniteSteps123,12,3,4,2,origB1,2,650,0,3,1,11.710083,SatDddScl,0.000261284,ok,0.011649456,18,0,0,4
0.011949327999999999,1.4183006535947713,14.800000190734863,87,25,5,FiniteSteps123,13,49,5,3,origB2,2,217,58,49,1,14.951781,SatDddScl,0.002955887,ok,0.014904577,5,1,45,5
0.013470600999999999,3.1098265895953756,16.799999237060547,136,20,5,FiniteSteps123,14,64,5,8,origB3,31,538,297,64,1,18.223755,SatDddScl,0.004676361,ok,0.018146415,5,17,44,5
0.016838811000000002,2.925531914893617,15.949999809265137,2246,25,16,FiniteSteps123,15,66,16,34,origB4,316,1925,668,66,1,24.506674999999998,SatDddScl,0.007500516,ok,0.024338771,20,60,1,16
0.01187764,1.289617486338798,17.799999237060547,136,25,2,FiniteSteps123,16,41,2,3,origB5,2,236,47,40,1,14.676339,SatDddScl,0.002752998,ok,0.014629955,5,1,37,2
0.011073074,1.0254777070063694,15.199999809265137,93,25,2,FiniteSteps123,17,2,2,2,origB6,1,161,0,2,1,11.267195000000001,SatDddScl,0.000148997,ok,0.011221394,5,0,0,2
0.018534459,3.5436507936507935,15.25,2865,25,25,FiniteSteps123,18,40,25,38,origB7,529,2679,914,40,1,23.970172,SatDddScl,0.005172168,ok,0.023706165,24,35,0,25
0.011398413999999999,1.0287769784172662,13.399999618530273,72,25,6,FiniteSteps123,19,3,6,2,origB8,1,143,0,3,1,11.778258999999998,SatDddScl,0.000331464,ok,0.01172915,5,0,0,6
0.012873213999999997,2.9390862944162435,13.571428298950195,150,25,7,FiniteSteps123,20,49,7,8,origB9,28,579,304,49,1,16.654750999999997,SatDddScl,0.003712163,ok,0.01658475,7,17,29,7
0.012865341999999998,3.1052631578947367,11.375,130,25,10,FiniteSteps123,21,43,10,10,origB10,27,590,328,43,1,16.033121,SatDddScl,0.00309757,ok,0.015962355,8,15,24,10
0.016158416,2.422641509433962,15.399999618530273,3202,25,23,FiniteSteps123,22,34,23,22,origB11,298,1926,538,34,1,19.867483,SatDddScl,0.00354832,ok,0.019706207,25,28,1,23
0.012688304000000001,1.2094017094017093,16.214284896850586,970,25,6,FiniteSteps123,23,25,6,4,origB12,8,566,76,25,1,14.375631,SatDddScl,0.001620215,ok,0.014307808,14,5,17,6
0.047249155999999994,2.774738535800483,20.931034088134766,5915,33,28,FiniteSteps123,24,30,28,11,trackA1,256,3449,1526,30,1,54.537634000000004,SatDddScl,0.00689217,ok,0.054140797,29,25,0,28
0.040727557,4.04,19.0,3735,33,35,FiniteSteps123,25,46,35,18,trackA2,328,3939,2190,46,1,71.853226,SatDddScl,0.030609648,ok,0.071336539,25,40,0,35
0.020739793,3.4385245901639343,22.375,2061,33,16,FiniteSteps123,26,49,16,13,trackA3,159,2517,1387,49,1,33.570184000000005,SatDddScl,0.012532593,ok,0.033271636,16,38,6,16
0.019622003000000002,3.51268115942029,19.214284896850586,1175,33,15,FiniteSteps123,27,110,15,14,trackA4,108,1939,1158,109,1,36.469615,SatDddScl,0.016641737,ok,0.036263135,14,50,54,15
0.014507467000000001,2.3438818565400843,19.25,876,33,12,FiniteSteps123,28,43,12,13,trackA5,62,1111,493,43,1,18.330127,SatDddScl,0.003696335,ok,0.018203304,12,27,12,12
0.012762421,1.9052287581699345,18.625,307,33,8,FiniteSteps123,29,47,8,6,trackA6,18,583,221,47,1,16.047385000000002,SatDddScl,0.003213503,ok,0.015975358,8,10,33,8
0.012298455,2.2,12.625,126,33,8,FiniteSteps123,30,32,8,7,trackA7,23,462,183,32,1,14.880213,SatDddScl,0.002517409,ok,0.014815257,8,12,16,8
0.08084360999999998,11.691189827429609,19.88888931274414,4862,33,42,FiniteSteps123,31,79,42,66,trackA8,2281,12872,7346,79,1,235.46638000000002,SatDddScl,0.153229627,ok,0.234072589,27,73,0,42
0.032456074,3.5559610705596105,20.049999237060547,2616,33,26,FiniteSteps123,32,43,26,20,trackA9,266,2923,1466,43,1,41.698366,SatDddScl,0.008939188,ok,0.041394752,20,38,0,26
0.015721792999999998,2.3559055118110237,18.176469802856445,1632,33,17,FiniteSteps123,33,38,17,13,trackA10,104,1496,594,38,1,19.73497,SatDddScl,0.003880073,ok,0.019601361,17,30,3,17
0.06972907800000001,6.814297452752671,20.482759475708008,6144,33,39,FiniteSteps123,34,45,39,82,trackA11,1235,8293,4221,45,1,131.431667,SatDddScl,0.060612184,ok,0.130340599,29,39,0,39
0.075624875,7.841639871382637,21.714284896850586,6393,33,42,FiniteSteps123,35,47,42,83,trackA12,1552,9755,4953,47,1,147.011294,SatDddScl,0.070154607,ok,0.145778954,28,41,0,42
0.018042205999999998,2.6121495327102804,17.33333396911621,2022,25,13,FiniteSteps123,36,59,13,10,trackB1,93,1677,827,59,1,31.002322,SatDddScl,0.012744114,ok,0.030785829,18,34,21,13
0.012163561,2.30718954248366,14.800000190734863,87,25,6,FiniteSteps123,37,34,6,6,trackB2,20,353,150,34,1,14.607453,SatDddScl,0.002377554,ok,0.014540524,5,10,21,6
0.012498671,2.9364161849710984,16.799999237060547,136,20,4,FiniteSteps123,38,37,4,8,trackB3,31,508,255,37,1,15.134595000000001,SatDddScl,0.002567692,ok,0.015065804,5,18,16,4
0.019006783,3.1048632218844983,15.949999809265137,2246,25,22,FiniteSteps123,39,40,22,24,trackB4,208,2043,921,40,1,25.269363,SatDddScl,0.006031284,ok,0.025037459,20,35,0,22
0.014099704000000001,3.8961748633879782,17.799999237060547,136,25,7,FiniteSteps123,40,82,7,13,trackB5,43,713,418,81,1,22.299744999999998,SatDddScl,0.008095496,ok,0.022194646,5,20,58,7
0.011833362,1.5605095541401275,15.199999809265137,93,25,2,FiniteSteps123,41,27,2,4,trackB6,6,245,66,27,1,13.757384,SatDddScl,0.001875118,ok,0.013707886,5,2,23,2
0.023799302,3.5634920634920637,15.25,2865,25,32,FiniteSteps123,42,40,32,16,trackB7,271,2694,1361,40,1,36.465622,SatDddScl,0.012187954,ok,0.035986678,24,33,1,32
0.011919917,1.9280575539568345,13.399999618530273,72,25,9,FiniteSteps123,43,26,9,6,trackB8,13,268,99,26,1,13.719774000000001,SatDddScl,0.001747591,ok,0.013666892,5,7,15,9
0.014044791000000001,4.588832487309645,13.571428298950195,150,25,9,FiniteSteps123,44,71,9,18,trackB9,128,904,472,70,1,21.504946,SatDddScl,0.007352807,ok,0.021397094,7,50,16,9
0.011631312999999999,1.4010695187165776,12.857142448425293,126,25,8,FiniteSteps123,45,16,8,4,trackB10,8,262,47,16,1,12.721834,SatDddScl,0.001041959,ok,0.012672604,7,3,9,8
0.022682881000000002,2.973584905660377,15.399999618530273,3202,25,37,FiniteSteps123,46,40,37,18,trackB11,239,2364,1057,40,1,30.872313,SatDddScl,0.007752459,ok,0.030434755,25,34,0,37
0.016968483,3.25,16.214284896850586,970,25,23,FiniteSteps123,47,46,23,20,trackB12,170,1521,685,46,1,23.689486,SatDddScl,0.006470445,ok,0.023438154,14,41,0,23
0.066800086,4.830249396621078,20.931034088134766,5915,33,44,FiniteSteps123,48,55,44,20,stationA1,564,6004,3551,55,1,120.428212,SatDddScl,0.052594793,ok,0.119394437,29,49,0,44
0.061402893000000014,7.424615384615384,19.0,3735,33,46,FiniteSteps123,49,76,46,33,stationA2,935,7239,4451,76,1,282.274962,SatDddScl,0.219550195,ok,0.280952276,25,70,0,46
0.027552297999999996,3.9672131147540983,22.375,2061,33,23,FiniteSteps123,50,111,23,16,stationA3,177,2904,1777,111,1,80.322945,SatDddScl,0.05233972,ok,0.079891212,16,57,49,23
0.017659978,3.0579710144927534,19.214284896850586,1175,33,18,FiniteSteps123,51,64,18,12,stationA4,95,1688,924,64,1,26.239078,SatDddScl,0.008370686,ok,0.026030069,14,38,21,18
0.016954931,3.2763713080168775,19.25,876,33,16,FiniteSteps123,52,80,16,14,stationA5,91,1553,872,79,1,26.074043000000003,SatDddScl,0.008920155,ok,0.025874483,12,32,42,16
0.012607858,2.0326797385620914,18.625,307,33,10,FiniteSteps123,53,27,10,12,stationA6,41,622,229,27,1,14.710638,SatDddScl,0.002023597,ok,0.014630794,8,19,4,10
0.01258524,2.480952380952381,12.625,126,33,12,FiniteSteps123,54,32,12,7,stationA7,39,521,225,32,1,15.179521,SatDddScl,0.002509208,ok,0.015093886,8,21,7,12
0.07459897300000001,9.33605812897366,19.88888931274414,4862,33,49,FiniteSteps123,55,72,49,43,stationA8,1578,10279,6080,72,1,392.440852,SatDddScl,0.316372669,ok,0.390970709,27,66,0,49
0.035652790000000004,3.812652068126521,20.049999237060547,2616,33,33,FiniteSteps123,56,52,33,21,stationA9,251,3134,1729,52,1,50.373368,SatDddScl,0.014328754,ok,0.049980926,20,44,2,33
0.020916434,3.8661417322834644,18.176469802856445,1632,33,23,FiniteSteps123,57,88,23,23,stationA10,217,2455,1365,87,2,35.925832,SatDddScl,0.014762132,ok,0.035678074,17,52,29,23
0.06920971100000001,6.746918652423993,20.482759475708008,6144,33,48,FiniteSteps123,58,40,48,50,stationA11,1316,8211,3900,40,1,233.57730400000003,SatDddScl,0.163080957,ok,0.23229008,29,34,0,48
0.09371529099999998,10.613344051446946,21.714284896850586,6393,33,55,FiniteSteps123,59,61,55,65,stationA12,2371,13203,6720,61,1,407.228719,SatDddScl,0.311765444,ok,0.405480247,28,55,0,55
