algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.005972219,1.4674175382139985,20.931034088134766,5915,33,34,InfiniteSteps180,0,73,34,9,origA1,494,1824,494,12,1,7.622488,MaxSatDddLadderScl,0.000937987,0.006909502,29,23,36,34
0.005291877,1.8225641025641026,19.0,3735,33,37,InfiniteSteps180,1,107,37,12,origA2,639,1777,639,37,1,6.744421,MaxSatDddLadderScl,0.001373281,0.006664562,25,32,36,37
0.006324016000000001,1.8442622950819672,22.375,2061,33,18,InfiniteSteps180,2,147,18,11,origA3,528,1350,528,18,3,8.076432,MaxSatDddLadderScl,0.001667058,0.007990566,16,22,103,18
0.004178007,1.9909420289855073,19.214284896850586,1175,33,23,InfiniteSteps180,3,86,23,9,origA4,465,1099,465,23,1,5.175022,MaxSatDddLadderScl,0.000880168,0.005057488,14,16,45,23
0.002896757,1.7827004219409284,19.25,876,33,20,InfiniteSteps180,4,81,20,6,origA5,322,845,322,20,1,3.34704,MaxSatDddLadderScl,0.00040629,0.003302468,12,10,49,20
0.002434688,1.696078431372549,18.625,307,33,14,InfiniteSteps180,5,74,14,4,origA6,185,519,185,14,1,2.838872,MaxSatDddLadderScl,0.000334164,0.00276826,8,6,52,14
0.002794865,2.142857142857143,12.625,126,33,15,InfiniteSteps180,6,85,15,5,origA7,178,450,178,15,1,3.49401,MaxSatDddLadderScl,0.000654498,0.00344866,8,7,61,15
0.028241584,4.336050724637682,19.214284896850586,4877,33,146,InfiniteSteps180,7,273,146,35,origA8,2656,4787,2656,56,23,95.471972,MaxSatDddLadderScl,0.066902937,0.095143897,28,127,66,146
0.006517589999999999,2.006082725060827,20.049999237060547,2616,33,41,InfiniteSteps180,8,137,41,13,origA9,673,1649,673,41,1,8.558367,MaxSatDddLadderScl,0.001936351,0.0084532,20,38,56,41
0.0035129680000000004,2.0913385826771655,18.176469802856445,1632,33,33,InfiniteSteps180,9,82,33,9,origA10,576,1328,576,23,1,4.383623,MaxSatDddLadderScl,0.000796533,0.004308936,17,19,38,33
0.007453924000000001,1.9877049180327868,19.83333396911621,6162,33,28,InfiniteSteps180,10,107,28,10,origA11,971,2425,971,28,1,11.218604,MaxSatDddLadderScl,0.003608868,0.011062033,30,48,29,28
0.009778778999999998,2.282154340836013,21.714284896850586,6393,33,33,InfiniteSteps180,11,123,33,13,origA12,1310,2839,1310,33,1,17.600449,MaxSatDddLadderScl,0.00760552,0.017383636,28,54,34,33
0.0018288010000000001,1.1199376947040498,17.33333396911621,2022,25,7,InfiniteSteps180,12,46,7,3,origB1,63,719,63,7,1,2.022752,MaxSatDddLadderScl,0.000108132,0.001936337,18,2,35,7
0.000945779,1.4248366013071896,14.800000190734863,87,25,5,InfiniteSteps180,13,54,5,3,origB2,59,218,59,5,1,1.034343,MaxSatDddLadderScl,6.0674e-05,0.001006038,5,1,46,5
0.001935869,2.5895953757225434,16.799999237060547,136,20,8,InfiniteSteps180,14,74,8,8,origB3,234,448,234,8,1,2.324261,MaxSatDddLadderScl,0.000342497,0.002277613,5,12,52,8
0.004461561,2.265957446808511,15.949999809265137,2246,25,301,InfiniteSteps180,15,97,301,17,origB4,610,1491,610,10,1,6.396433,MaxSatDddLadderScl,0.00183559,0.006296655,20,43,42,301
0.000974237,1.289617486338798,17.799999237060547,136,25,2,InfiniteSteps180,16,42,2,3,origB5,47,236,47,2,1,1.086135,MaxSatDddLadderScl,7.0519e-05,0.001044341,5,1,37,2
0.0007452240000000001,1.3248407643312101,15.199999809265137,93,25,2,InfiniteSteps180,17,41,2,3,origB6,45,208,45,2,1,0.822549,MaxSatDddLadderScl,4.614e-05,0.000790939,5,1,36,2
0.00915844,3.748677248677249,15.25,2865,25,373,InfiniteSteps180,18,114,373,39,origB7,1264,2834,1264,22,2,17.270318,MaxSatDddLadderScl,0.007909025,0.017066809,24,87,2,373
0.000410317,1.1151079136690647,13.399999618530273,72,25,6,InfiniteSteps180,19,20,6,2,origB8,12,155,12,6,1,0.457104,MaxSatDddLadderScl,1.6706e-05,0.00042655,5,0,12,6
0.002248481,2.746192893401015,13.571428298950195,150,25,36,InfiniteSteps180,20,81,36,8,origB9,279,541,279,9,1,2.909805,MaxSatDddLadderScl,0.000625251,0.002872933,7,14,56,36
0.003992735000000001,4.063157894736842,11.375,130,25,39,InfiniteSteps180,21,114,39,12,origB10,477,772,477,15,2,6.225616,MaxSatDddLadderScl,0.002164454,0.006156688,8,29,67,39
0.006582862,2.7534591194968554,15.399999618530273,3202,25,426,InfiniteSteps180,22,116,426,50,origB11,925,2189,925,30,1,11.755761,MaxSatDddLadderScl,0.004998941,0.011581307,25,59,25,426
0.001333668,1.2735042735042734,16.214284896850586,970,25,6,InfiniteSteps180,23,43,6,5,origB12,103,596,103,6,1,1.533579,MaxSatDddLadderScl,0.000127718,0.001460777,14,8,27,6
0.022542348999999996,4.478680611423974,20.931034088134766,5915,33,69,InfiniteSteps180,24,149,69,24,trackA1,3320,5567,3320,34,1,67.644217,MaxSatDddLadderScl,0.044744451,0.067286149,29,76,37,69
0.01568504,4.457435897435897,19.0,3735,33,52,InfiniteSteps180,25,150,52,17,trackA2,2464,4346,2464,52,1,41.135567,MaxSatDddLadderScl,0.025103457,0.040787901,25,81,15,52
0.01656048,4.530054644808743,22.375,2061,33,22,InfiniteSteps180,26,177,22,21,trackA3,2105,3316,2105,22,1,31.88814,MaxSatDddLadderScl,0.015030828,0.031590606,16,92,61,22
