algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.6837417370000001,4.243765084473049,20.931034088134766,5915,33,34,InfiniteSteps180,0,182,34,105,origA1,989,5275,989,12,1,706.384151,MaxSatDddLadderScl,0.021684395,ok,0.705425115,29,36,132,34
0.041676552000000006,4.6697435897435895,19.0,3735,33,37,InfiniteSteps180,1,172,37,109,origA2,862,4553,862,37,1,58.552542,MaxSatDddLadderScl,0.016614987,ok,0.058290885,25,48,85,37
0.026215231,4.270491803278689,22.375,2061,33,14,InfiniteSteps180,2,170,14,104,origA3,684,3126,684,14,1,37.274646000000004,MaxSatDddLadderScl,0.010877466,ok,0.037092005,16,21,135,14
0.020017158,4.492753623188406,19.214284896850586,1175,33,22,InfiniteSteps180,3,82,22,104,origA4,453,2480,453,22,1,24.137507999999997,MaxSatDddLadderScl,0.003980606,ok,0.023997274,14,15,45,22
0.019015588,4.223628691983122,19.25,876,33,19,InfiniteSteps180,4,75,19,102,origA5,291,2002,291,19,1,22.57176,MaxSatDddLadderScl,0.003438508,ok,0.022453527,12,8,48,19
0.015831613,4.23202614379085,18.625,307,33,14,InfiniteSteps180,5,56,14,102,origA6,173,1295,173,14,1,17.395539000000003,MaxSatDddLadderScl,0.001436916,ok,0.017267993,8,4,38,14
0.016288307,5.623809523809523,12.625,126,33,15,InfiniteSteps180,6,78,15,102,origA7,156,1181,156,15,1,18.298603,MaxSatDddLadderScl,0.00194033,ok,0.01822812,8,2,61,15
0.07227398299999999,9.458333333333334,19.214284896850586,4877,33,136,InfiniteSteps180,7,278,136,118,origA8,4905,10442,4905,46,1,165.884671,MaxSatDddLadderScl,0.093125645,ok,0.16539915,28,163,67,136
0.04221752399999999,5.2700729927007295,20.049999237060547,2616,33,40,InfiniteSteps180,8,197,40,105,origA9,1241,4332,1241,40,1,58.938759,MaxSatDddLadderScl,0.016477238,ok,0.058694189,20,60,95,40
0.026620119999999997,5.4661417322834644,18.176469802856445,1632,33,33,InfiniteSteps180,9,150,33,105,origA10,942,3471,942,23,1,37.295624,MaxSatDddLadderScl,0.010464372,ok,0.037083935,17,34,91,33
0.056019505000000004,5.2942622950819676,19.83333396911621,6162,33,25,InfiniteSteps180,10,122,25,105,origA11,1720,6459,1720,25,1,72.974109,MaxSatDddLadderScl,0.01657661,ok,0.072595421,30,63,32,25
0.06165625699999999,5.009646302250804,21.714284896850586,6393,33,29,InfiniteSteps180,11,185,29,107,origA12,1736,6232,1736,29,1,86.113192,MaxSatDddLadderScl,0.024117941,ok,0.085773644,28,69,85,29
0.021453288,4.006230529595015,17.33333396911621,2022,25,7,InfiniteSteps180,12,90,7,103,origB1,118,2572,118,7,1,26.973137,MaxSatDddLadderScl,0.005342871,ok,0.026795346,18,2,79,7
0.014099378999999999,4.790849673202614,14.800000190734863,87,25,5,InfiniteSteps180,13,51,5,102,origB2,68,733,68,5,1,14.967199,MaxSatDddLadderScl,0.00083737,ok,0.014936261,5,3,43,5
0.014610676,5.254335260115607,16.799999237060547,136,20,7,InfiniteSteps180,14,68,7,103,origB3,208,909,208,7,1,16.037102,MaxSatDddLadderScl,0.001391581,ok,0.016001711,5,5,56,7
0.021961915,4.913373860182371,15.949999809265137,2246,25,301,InfiniteSteps180,15,94,301,103,origB4,599,3233,599,10,1,28.122283000000003,MaxSatDddLadderScl,0.005996352,ok,0.027957762,20,34,50,301
0.013810918,4.016393442622951,17.799999237060547,136,25,2,InfiniteSteps180,16,41,2,102,origB5,45,735,45,2,1,14.595101,MaxSatDddLadderScl,0.000740866,ok,0.014551244,5,1,36,2
0.013164613,4.197452229299363,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,101,origB6,0,659,0,2,1,13.280485,MaxSatDddLadderScl,4.4912e-05,ok,0.013208868,5,0,0,2
0.028146912999999996,6.074074074074074,15.25,2865,25,370,InfiniteSteps180,18,113,370,107,origB7,1051,4592,1051,19,1,42.204064,MaxSatDddLadderScl,0.013804833,ok,0.041951168,24,40,54,370
0.013141964,4.58273381294964,13.399999618530273,72,25,6,InfiniteSteps180,19,6,6,101,origB8,0,637,0,6,1,13.269688,MaxSatDddLadderScl,8.8785e-05,ok,0.013230134,5,0,0,6
0.015342894,5.8274111675126905,13.571428298950195,150,25,35,InfiniteSteps180,20,54,35,103,origB9,220,1148,220,8,1,16.759547,MaxSatDddLadderScl,0.001338407,ok,0.016680774,7,11,35,35
0.015934228999999998,7.052631578947368,11.375,130,25,34,InfiniteSteps180,21,51,34,103,origB10,307,1340,307,10,1,17.402402000000002,MaxSatDddLadderScl,0.001345596,ok,0.017279221,8,12,29,34
0.035294160000000005,8.778616352201258,15.399999618530273,3202,25,425,InfiniteSteps180,22,182,425,114,origB11,2270,6979,2270,29,3,74.389122,MaxSatDddLadderScl,0.038776827,ok,0.07407036,25,131,20,425
0.017995525999999998,4.538461538461538,16.214284896850586,970,25,6,InfiniteSteps180,23,42,6,104,origB12,170,2124,170,6,1,19.924405999999998,MaxSatDddLadderScl,0.001812039,ok,0.019807102,14,13,23,6
0.07192109199999999,6.732099758648431,20.931034088134766,5915,33,60,InfiniteSteps180,24,202,60,119,trackA1,3301,8368,3301,25,1,108.80935799999999,MaxSatDddLadderScl,0.03646197,ok,0.108382438,29,95,80,60
0.064035303,7.212307692307692,19.0,3735,33,48,InfiniteSteps180,25,261,48,113,trackA2,2704,7032,2704,48,1,114.982189,MaxSatDddLadderScl,0.050516141,ok,0.114550915,25,89,122,48
0.034873756,6.629781420765028,22.375,2061,33,18,InfiniteSteps180,26,183,18,111,trackA3,2021,4853,2021,18,1,54.799150999999995,MaxSatDddLadderScl,0.019701044,ok,0.054574293,16,68,97,18
0.025443757999999997,5.307971014492754,19.214284896850586,1175,33,18,InfiniteSteps180,27,165,18,109,trackA4,811,2930,811,18,1,35.653062,MaxSatDddLadderScl,0.010055776,ok,0.035498985,14,28,119,18
0.020475315,5.0168776371308015,19.25,876,33,19,InfiniteSteps180,28,102,19,106,trackA5,579,2378,579,19,1,25.60191,MaxSatDddLadderScl,0.004996738,ok,0.025471589,12,22,61,19
