algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.019738356999999998,4.3692679002413515,20.931034088134766,5915,33,34,InfiniteSteps180,0,94,34,104,origA1,592,5431,592,12,1,30.915747,MaxSatDddLadderScl,0.010275241,ok,0.030012865,29,26,54,34
0.016553183,4.569230769230769,19.0,3735,33,37,InfiniteSteps180,1,108,37,109,origA2,619,4455,619,37,1,26.129915999999998,MaxSatDddLadderScl,0.009337798,ok,0.025890347,25,32,39,37
0.012919365000000002,4.25,22.375,2061,33,14,InfiniteSteps180,2,134,14,105,origA3,494,3111,494,14,2,20.850902,MaxSatDddLadderScl,0.007727663,ok,0.020646499,16,22,97,14
0.008474563000000001,4.369565217391305,19.214284896850586,1175,33,22,InfiniteSteps180,3,80,22,103,origA4,280,2412,280,22,1,12.505479,MaxSatDddLadderScl,0.003905052,ok,0.012379056,14,10,48,22
0.007640737,4.367088607594937,19.25,876,33,19,InfiniteSteps180,4,73,19,103,origA5,228,2070,228,19,1,10.656543,MaxSatDddLadderScl,0.002904712,ok,0.010544939,12,7,47,19
0.0036843229999999998,4.049019607843137,18.625,307,33,14,InfiniteSteps180,5,25,14,102,origA6,32,1239,32,14,1,4.371495,MaxSatDddLadderScl,0.00060788,ok,0.004291664,8,1,10,14
0.004322964,5.5476190476190474,12.625,126,33,15,InfiniteSteps180,6,55,15,102,origA7,75,1165,75,15,1,5.74016,MaxSatDddLadderScl,0.001350281,ok,0.005672722,8,1,39,15
0.04123772499999999,8.851449275362318,19.214284896850586,4877,33,136,InfiniteSteps180,7,235,136,116,origA8,3796,9772,3796,46,1,117.066865,MaxSatDddLadderScl,0.075328293,ok,0.11656539,28,135,52,136
0.016892607,5.2773722627737225,20.049999237060547,2616,33,40,InfiniteSteps180,8,141,40,106,origA9,750,4338,750,40,2,29.358639,MaxSatDddLadderScl,0.012126377,ok,0.0290184,20,52,46,40
0.012564725,5.135433070866141,18.176469802856445,1632,33,33,InfiniteSteps180,9,132,33,106,origA10,582,3261,582,23,1,21.858278,MaxSatDddLadderScl,0.009109976,ok,0.021674186,17,29,78,33
0.025433261000000002,5.416393442622951,19.83333396911621,6162,33,25,InfiniteSteps180,10,130,25,106,origA11,1286,6608,1286,25,1,46.496242,MaxSatDddLadderScl,0.020721737,ok,0.04615443,30,61,42,25
0.028782567999999998,5.172025723472669,21.714284896850586,6393,33,29,InfiniteSteps180,11,156,29,106,origA12,1394,6434,1394,29,1,52.441590000000005,MaxSatDddLadderScl,0.023338013,ok,0.052120068,28,58,67,29
0.008369753,3.987538940809969,17.33333396911621,2022,25,7,InfiniteSteps180,12,36,7,103,origB1,26,2560,26,7,3,10.531948,MaxSatDddLadderScl,0.002014556,ok,0.010383781,18,0,25,7
0.0024428830000000003,4.745098039215686,14.800000190734863,87,25,5,InfiniteSteps180,13,20,5,102,origB2,29,726,29,5,1,2.817022,MaxSatDddLadderScl,0.000327203,ok,0.00276949,5,2,13,5
0.0037294570000000003,5.393063583815029,16.799999237060547,136,20,7,InfiniteSteps180,14,64,7,103,origB3,130,933,130,7,1,5.037253000000001,MaxSatDddLadderScl,0.001256221,ok,0.00498517,5,4,53,7
0.009171452,4.756838905775076,15.949999809265137,2246,25,301,InfiniteSteps180,15,55,301,102,origB4,399,3130,399,10,1,12.669552000000001,MaxSatDddLadderScl,0.003337416,ok,0.012508252,20,31,14,301
0.002505858,4.295081967213115,17.799999237060547,136,25,2,InfiniteSteps180,16,17,2,102,origB5,13,786,13,2,1,2.846618,MaxSatDddLadderScl,0.00028831,ok,0.002793643,5,0,13,2
0.002149609,4.197452229299363,15.199999809265137,93,25,2,InfiniteSteps180,17,4,2,101,origB6,0,659,0,2,1,2.2534009999999998,MaxSatDddLadderScl,5.8549e-05,ok,0.002207534,5,0,0,2
0.013365763000000003,6.468253968253968,15.25,2865,25,370,InfiniteSteps180,18,72,370,109,origB7,1044,4890,1044,19,1,20.953523,MaxSatDddLadderScl,0.007340284,ok,0.020705635,24,51,2,370
0.002238056,4.58273381294964,13.399999618530273,72,25,6,InfiniteSteps180,19,8,6,101,origB8,0,637,0,6,1,2.4051720000000003,MaxSatDddLadderScl,0.000137782,ok,0.002375322,5,0,0,6
0.004570495,6.060913705583756,13.571428298950195,150,25,35,InfiniteSteps180,20,50,35,104,origB9,212,1194,212,8,1,6.317315000000001,MaxSatDddLadderScl,0.001654509,ok,0.006224439,7,9,33,35
0.003952528,6.352631578947369,11.375,130,25,34,InfiniteSteps180,21,35,34,103,origB10,92,1207,92,10,1,4.961986,MaxSatDddLadderScl,0.000939376,ok,0.004891325,8,5,20,34
0.027668913000000003,8.99119496855346,15.399999618530273,3202,25,425,InfiniteSteps180,22,194,425,122,origB11,2310,7148,2310,29,15,75.886883,MaxSatDddLadderScl,0.04762252,ok,0.075290696,25,136,15,425
0.006987729,4.121794871794871,16.214284896850586,970,25,6,InfiniteSteps180,23,15,6,102,origB12,27,1929,27,6,1,8.22775,MaxSatDddLadderScl,0.001121127,ok,0.008108012,14,0,9,6
0.039286466000000006,6.963797264682221,20.931034088134766,5915,33,60,InfiniteSteps180,24,174,60,121,trackA1,2888,8656,2888,25,1,70.92068,MaxSatDddLadderScl,0.031243408,ok,0.070529318,29,89,58,60
0.032350551000000005,7.611282051282052,19.0,3735,33,48,InfiniteSteps180,25,186,48,115,trackA2,2013,7421,2013,48,1,72.63061499999999,MaxSatDddLadderScl,0.039920656,ok,0.072270379,25,78,58,48
0.019665468,6.259562841530054,22.375,2061,33,18,InfiniteSteps180,26,155,18,111,trackA3,1424,4582,1424,18,1,36.069912,MaxSatDddLadderScl,0.016172222,ok,0.03583715,16,59,78,18
0.011841349000000001,5.634057971014493,19.214284896850586,1175,33,18,InfiniteSteps180,27,116,18,111,trackA4,758,3110,758,18,1,19.518029,MaxSatDddLadderScl,0.007443836,ok,0.019284468,14,33,65,18
0.008724395,5.135021097046414,19.25,876,33,19,InfiniteSteps180,28,83,19,106,trackA5,467,2434,467,19,1,13.367431000000002,MaxSatDddLadderScl,0.004509367,ok,0.013233145,12,26,38,19
0.004493526,4.339869281045751,18.625,307,33,11,InfiniteSteps180,29,47,11,103,trackA6,99,1328,99,11,1,5.912653000000001,MaxSatDddLadderScl,0.001347078,ok,0.005840148,8,5,31,11
0.005318081,5.776190476190476,12.625,126,33,10,InfiniteSteps180,30,53,10,102,trackA7,100,1213,100,10,1,7.211203,MaxSatDddLadderScl,0.001809927,ok,0.007127371,8,4,39,10
0.1170436119999998,27.271571298819254,19.88888931274414,4862,33,146,InfiniteSteps180,31,354,146,205,trackA8,13871,30026,13871,73,2,20708.449661,MaxSatDddLadderScl,20.589848283,ok,20.706891177,27,261,17,146
0.017542603,6.7725060827250605,20.049999237060547,2616,33,43,InfiniteSteps180,32,107,43,106,trackA9,1550,5567,1550,43,1,32.266622000000005,MaxSatDddLadderScl,0.014462195,ok,0.032004042,20,51,13,43
0.010815918,5.15748031496063,18.176469802856445,1632,33,33,InfiniteSteps180,33,70,33,105,trackA10,511,3275,511,19,1,15.605225,MaxSatDddLadderScl,0.004612564,ok,0.015427749,17,31,20,33
0.10044470299999375,33.03122432210353,20.482759475708008,6144,33,,InfiniteSteps180,34,281,96,215,trackA11,18275,40199,18275,96,1,122430.73479,MaxSatDddLadderScl,122.328172233,timeout,122.428616343,29,184,0,124
0.07679947700000866,26.85369774919614,21.714284896850586,6393,33,,InfiniteSteps180,35,225,95,188,trackA12,14547,33406,14547,95,1,120337.913613,MaxSatDddLadderScl,120.259298514,timeout,120.336097277,28,128,0,159
0.015294205,5.559190031152648,17.33333396911621,2022,25,14,InfiniteSteps180,36,120,14,106,trackB1,593,3569,593,14,1,25.857391,MaxSatDddLadderScl,0.010363032,ok,0.025656591,18,30,74,14
0.0031764590000000004,5.104575163398692,14.800000190734863,87,25,26,InfiniteSteps180,37,51,26,105,trackB2,52,781,52,26,1,4.137018,MaxSatDddLadderScl,0.000904314,ok,0.004080264,5,4,21,26
0.0031346329999999995,5.341040462427745,16.799999237060547,136,20,4,InfiniteSteps180,38,31,4,103,trackB3,122,924,122,4,1,4.117349,MaxSatDddLadderScl,0.000926838,ok,0.004060537,5,11,16,4
0.021922476000000003,8.433130699088146,15.949999809265137,2246,25,341,InfiniteSteps180,39,168,341,128,trackB4,1842,5549,1842,22,1,52.320026,MaxSatDddLadderScl,0.030116537,ok,0.052038557,20,92,52,341
0.0040213770000000005,6.825136612021858,17.799999237060547,136,25,11,InfiniteSteps180,40,62,11,109,trackB5,261,1249,261,11,2,5.770619,MaxSatDddLadderScl,0.001695278,ok,0.005716141,5,17,33,11
0.0027335579999999996,4.834394904458598,15.199999809265137,93,25,2,InfiniteSteps180,41,24,2,103,trackB6,56,759,56,2,1,3.199183,MaxSatDddLadderScl,0.000435626,ok,0.003168491,5,1,21,2
0.015996936000000003,6.608465608465608,15.25,2865,25,318,InfiniteSteps180,42,90,318,112,trackB7,1102,4996,1102,24,1,26.523256,MaxSatDddLadderScl,0.010263712,ok,0.02626007,24,50,14,318
0.0038128009999999998,6.589928057553957,13.399999618530273,72,25,12,InfiniteSteps180,43,55,12,108,trackB8,136,916,136,12,1,5.117492,MaxSatDddLadderScl,0.001267724,ok,0.005080076,5,11,32,12
0.004286362,7.355329949238579,13.571428298950195,150,25,51,InfiniteSteps180,44,52,51,108,trackB9,346,1449,346,10,1,5.894522,MaxSatDddLadderScl,0.001529596,ok,0.005815357,7,22,20,51
0.002926916,5.0588235294117645,12.857142448425293,126,25,41,InfiniteSteps180,45,13,41,102,trackB10,16,946,16,6,1,3.22489,MaxSatDddLadderScl,0.000260253,ok,0.003186759,7,1,6,41
0.023194925999999998,6.895597484276729,15.399999618530273,3202,25,391,InfiniteSteps180,46,152,391,113,trackB11,1506,5482,1506,26,2,44.970591,MaxSatDddLadderScl,0.021488553,ok,0.044682941,25,63,60,391
0.014871063,7.388888888888889,16.214284896850586,970,25,88,InfiniteSteps180,47,175,88,123,trackB12,858,3458,858,88,2,39.201513,MaxSatDddLadderScl,0.024095556,ok,0.038966148,14,60,24,88
0.037222334999999995,8.650844730490748,20.931034088134766,5915,33,81,InfiniteSteps180,48,165,81,112,stationA1,4502,10753,4502,46,1,112.183297,MaxSatDddLadderScl,0.074467532,ok,0.111688857,29,101,16,81
0.035287869,9.643076923076922,19.0,3735,33,59,InfiniteSteps180,49,185,59,123,stationA2,3903,9402,3903,59,1,194.343334,MaxSatDddLadderScl,0.158593054,ok,0.193880321,25,98,26,59
