algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.018381757000000002,2.2244569589702334,20.931034088134766,5915,33,5526,Continuous,0,270,5526,9,origA1,1287,2765,1287,36,1,24.262757999999998,MaxSatDddLadderScl,0.005110859,ok,0.023491626,29,51,181,5526
0.010345873999999998,2.4256410256410255,19.0,3735,33,5804,Continuous,1,179,5804,17,origA2,1069,2365,1069,65,1,15.594237,MaxSatDddLadderScl,0.005049989,ok,0.015395294,25,55,57,5804
0.0053183860000000005,1.780054644808743,22.375,2061,33,1329,Continuous,2,123,1329,6,origA3,489,1303,489,20,1,6.256136,MaxSatDddLadderScl,0.000847209,ok,0.006164903,16,14,87,1329
0.0044285950000000004,2.0434782608695654,19.214284896850586,1175,33,2706,Continuous,3,99,2706,8,origA4,488,1128,488,25,1,5.387953,MaxSatDddLadderScl,0.00088859,ok,0.00531666,14,16,56,2706
0.004007622,1.9135021097046414,19.25,876,33,2634,Continuous,4,86,2634,7,origA5,371,907,371,16,1,4.663347,MaxSatDddLadderScl,0.000560209,ok,0.004567188,12,11,57,2634
0.003432272,1.8888888888888888,18.625,307,33,2043,Continuous,5,86,2043,5,origA6,244,578,244,11,1,3.9710659999999995,MaxSatDddLadderScl,0.00042154,ok,0.003853247,8,4,69,2043
0.0028120130000000004,2.933333333333333,12.625,126,33,1918,Continuous,6,91,1918,9,origA7,342,616,342,12,1,3.349684,MaxSatDddLadderScl,0.000488476,ok,0.003299678,8,9,68,1918
0.10440958899999941,7.103260869565218,19.214284896850586,4877,33,,Continuous,7,685,22537,34,origA8,3041,7842,3041,604,1,120570.55716899999,MaxSatDddLadderScl,120.454650581,timeout,120.559059454,28,79,1,23923
0.014305162,3.170316301703163,20.049999237060547,2616,33,6178,Continuous,8,279,6178,12,origA9,1295,2606,1295,124,1,26.283327,MaxSatDddLadderScl,0.011681055,ok,0.025985753,20,59,94,6178
0.009742165,3.5385826771653544,18.176469802856445,1632,33,4746,Continuous,9,231,4746,13,origA10,1048,2247,1048,60,1,16.618201,MaxSatDddLadderScl,0.006717574,ok,0.016459102,17,46,123,4746
0.028964851000000014,3.786065573770492,19.83333396911621,6162,33,3331,Continuous,10,320,3331,17,origA11,2447,4619,2447,206,1,1874.699484,MaxSatDddLadderScl,1.844128231,ok,1.873091842,30,83,29,3331
0.07207325899999972,4.22588424437299,21.714284896850586,6393,33,4247,Continuous,11,503,4247,16,origA12,2472,5257,2472,370,1,38960.624709,MaxSatDddLadderScl,38.881211627,ok,38.95328407,28,88,43,4247
0.002405258,1.2554517133956387,17.33333396911621,2022,25,969,Continuous,12,89,969,4,origB1,144,806,144,6,1,2.645839,MaxSatDddLadderScl,0.000202845,ok,0.002607592,18,3,78,969
0.00132526,1.4379084967320261,14.800000190734863,87,25,347,Continuous,13,53,347,3,origB2,59,220,59,4,1,1.499528,MaxSatDddLadderScl,0.000139219,ok,0.00146399,5,1,46,347
0.001549487,2.439306358381503,16.799999237060547,136,20,629,Continuous,14,53,629,6,origB3,152,422,152,8,1,1.800095,MaxSatDddLadderScl,0.000229365,ok,0.001778337,5,5,40,629
0.004966432,2.6109422492401215,15.949999809265137,2246,25,53607,Continuous,15,126,53607,25,origB4,679,1718,679,31,1,7.508944,MaxSatDddLadderScl,0.00247121,ok,0.007437004,20,42,51,53607
0.001693995,1.814207650273224,17.799999237060547,136,25,288,Continuous,16,98,288,4,origB5,132,332,132,4,1,1.885504,MaxSatDddLadderScl,0.000174293,ok,0.001867814,5,3,91,288
0.000912354,1.3375796178343948,15.199999809265137,93,25,176,Continuous,17,42,176,3,origB6,45,210,45,3,1,1.060112,MaxSatDddLadderScl,0.000128185,ok,0.001039979,5,1,36,176
0.061385661999999286,5.244708994708994,15.25,2865,25,65828,Continuous,18,590,65828,45,origB7,1349,3965,1349,524,1,28747.214865,MaxSatDddLadderScl,28.679809763,ok,28.741194901,24,63,3,65828
0.00130877,1.3021582733812949,13.399999618530273,72,25,676,Continuous,19,44,676,2,origB8,37,181,37,5,1,1.4140439999999999,MaxSatDddLadderScl,6.7797e-05,ok,0.001375992,5,0,37,676
0.004461187,3.2944162436548226,13.571428298950195,150,25,5967,Continuous,20,104,5967,10,origB9,265,649,265,29,2,6.3146640000000005,MaxSatDddLadderScl,0.001824182,ok,0.006284802,7,11,63,5967
0.001726408,3.2842105263157895,11.375,130,25,5747,Continuous,21,61,5747,11,origB10,324,624,324,19,1,2.080552,MaxSatDddLadderScl,0.000309509,ok,0.002035442,8,13,29,5747
0.07044784899999001,5.472955974842767,15.399999618530273,3202,25,,Continuous,22,593,75209,50,origB11,1441,4351,1441,548,1,121475.921818,MaxSatDddLadderScl,121.395291685,timeout,121.465738944,25,43,0,76083
0.001835662,1.794871794871795,16.214284896850586,970,25,918,Continuous,23,55,918,8,origB12,272,840,272,6,1,2.097266,MaxSatDddLadderScl,0.000219289,ok,0.002054311,14,17,30,918
0.028205336999999997,5.386162510056315,20.931034088134766,5915,33,9621,Continuous,24,222,9621,21,trackA1,3318,6695,3318,78,2,49.75367,MaxSatDddLadderScl,0.021177939,ok,0.049382724,29,81,60,9621
0.04818083299999998,6.2902564102564105,19.0,3735,33,6859,Continuous,25,431,6859,23,trackA2,2378,6133,2378,323,1,9902.695134,MaxSatDddLadderScl,9.851475643,ok,9.899655498,25,76,32,6859
0.014805314,5.4030054644808745,22.375,2061,33,2077,Continuous,26,213,2077,16,trackA3,1419,3955,1419,113,1,47.504812,MaxSatDddLadderScl,0.032269023,ok,0.047073856,16,55,43,2077
0.004795826,2.753623188405797,19.214284896850586,1175,33,2069,Continuous,27,99,2069,9,trackA4,613,1520,613,14,1,5.9859290000000005,MaxSatDddLadderScl,0.001134443,ok,0.005929497,14,20,63,2069
0.014846811000000015,3.5316455696202533,19.25,876,33,2773,Continuous,28,306,2773,14,trackA5,582,1674,582,215,1,321.47558599999996,MaxSatDddLadderScl,0.305770442,ok,0.320616648,12,28,61,2773
0.007211607,2.542483660130719,18.625,307,33,1679,Continuous,29,92,1679,10,trackA6,268,778,268,12,2,8.936322,MaxSatDddLadderScl,0.001688715,ok,0.008899816,8,9,68,1679
0.00198983,2.5476190476190474,12.625,126,33,1393,Continuous,30,71,1393,7,trackA7,234,535,234,9,1,2.351203,MaxSatDddLadderScl,0.000332247,ok,0.002321451,8,8,52,1393
0.14957873199999483,7.297910990009083,19.88888931274414,4862,33,,Continuous,31,1179,19760,32,trackA8,3414,8035,3414,1142,1,120883.26009,MaxSatDddLadderScl,120.710361178,timeout,120.859939104,27,36,0,35398
0.030843540000000225,5.041362530413625,20.049999237060547,2616,33,6305,Continuous,32,387,6305,25,trackA9,2010,4144,2010,285,1,1395.3436370000002,MaxSatDddLadderScl,1.362875382,ok,1.393718379,20,76,24,6305
0.007841326,3.277165354330709,18.176469802856445,1632,33,4812,Continuous,33,149,4812,17,trackA10,818,2081,818,53,1,11.962729,MaxSatDddLadderScl,0.003970532,ok,0.011810914,17,40,54,4812
0.1832132549999983,7.928512736236647,20.482759475708008,6144,33,,Continuous,34,1583,5472,75,trackA11,4211,9649,4211,1542,1,120729.32269,MaxSatDddLadderScl,120.523034605,timeout,120.706247117,29,40,0,26113
0.1724654730000026,9.790192926045016,21.714284896850586,6393,33,,Continuous,35,1167,7378,91,trackA12,4679,12179,4679,1126,1,120382.69628599999,MaxSatDddLadderScl,120.184048104,timeout,120.356512708,28,40,0,38975
0.007829659,4.261682242990654,17.33333396911621,2022,25,1507,Continuous,36,145,1507,20,trackB1,1034,2736,1034,59,1,12.2612,MaxSatDddLadderScl,0.004259563,ok,0.012088634,18,37,47,1507
0.0012648149999999999,2.0,14.800000190734863,87,25,4404,Continuous,37,57,4404,6,trackB2,109,306,109,7,2,1.4621899999999999,MaxSatDddLadderScl,0.000175243,ok,0.001439546,5,4,43,4404
0.001618879,3.2947976878612715,16.799999237060547,136,20,596,Continuous,38,49,596,11,trackB3,210,570,210,5,1,1.924911,MaxSatDddLadderScl,0.000286426,ok,0.001904845,5,15,27,596
0.11409608399999627,6.82370820668693,15.949999809265137,2246,25,,Continuous,39,768,60539,39,trackB4,1932,4490,1932,651,2,121609.122894,MaxSatDddLadderScl,121.477276294,timeout,121.591371609,20,91,24,60558
0.002107903,4.382513661202186,17.799999237060547,136,25,1662,Continuous,40,81,1662,11,trackB5,374,802,374,17,1,2.888649,MaxSatDddLadderScl,0.000739305,ok,0.002846586,5,25,37,1662
0.000784237,1.6878980891719746,15.199999809265137,93,25,209,Continuous,41,42,209,4,trackB6,92,265,92,3,1,0.872934,MaxSatDddLadderScl,6.4746e-05,ok,0.00084849,5,1,36,209
0.019973728999999996,4.574074074074074,15.25,2865,25,56119,Continuous,42,283,56119,23,trackB7,1675,3458,1675,174,3,152.91342999999998,MaxSatDddLadderScl,0.132189282,ok,0.152162237,24,72,35,56119
0.002778936,3.4244604316546763,13.399999618530273,72,25,1906,Continuous,43,120,1906,10,trackB8,236,476,236,39,1,3.759408,MaxSatDddLadderScl,0.000947319,ok,0.003725777,5,12,69,1906
0.004587979999999999,4.918781725888325,13.571428298950195,150,25,8593,Continuous,44,145,8593,18,trackB9,452,969,452,81,2,9.932681,MaxSatDddLadderScl,0.005179831,ok,0.009767347,7,34,29,8593
0.001361544,1.572192513368984,12.857142448425293,126,25,6912,Continuous,45,37,6912,3,trackB10,77,294,77,7,1,1.5452249999999998,MaxSatDddLadderScl,0.000148036,ok,0.001509075,7,1,29,6912
0.013758469,4.3685534591194966,15.399999618530273,3202,25,68844,Continuous,46,168,68844,18,trackB11,1585,3473,1585,73,1,24.923884,MaxSatDddLadderScl,0.010935121,ok,0.024692839,25,58,35,68844
0.12169313100000068,5.613247863247863,16.214284896850586,970,25,,Continuous,47,680,15046,35,trackB12,686,2627,686,618,1,120979.779135,MaxSatDddLadderScl,120.838159826,timeout,120.959852206,14,55,6,15757
0.11040832000000478,6.961383748994368,20.931034088134766,5915,33,,Continuous,48,699,12057,22,stationA1,3262,8653,3262,640,1,120567.897903,MaxSatDddLadderScl,120.439395675,timeout,120.549803427,29,53,5,16473
0.10331713000000775,6.0543589743589745,19.0,3735,33,,Continuous,49,686,8069,24,stationA2,2201,5903,2201,637,1,120773.66704,MaxSatDddLadderScl,120.65483071,timeout,120.758146915,25,46,2,11401
0.08835330099999794,6.922131147540983,22.375,2061,33,,Continuous,50,605,3565,24,stationA3,2064,5067,2064,495,1,121287.138479,MaxSatDddLadderScl,121.185982333,timeout,121.274334861,16,70,39,4029
0.022255252000000114,4.297101449275362,19.214284896850586,1175,33,3122,Continuous,51,285,3122,17,stationA4,855,2372,855,198,2,1227.520789,MaxSatDddLadderScl,1.203864914,ok,1.226119464,14,35,49,3122
0.036842598999999865,4.620253164556962,19.25,876,33,3306,Continuous,52,473,3306,21,stationA5,1104,2190,1104,378,2,3253.3171749999997,MaxSatDddLadderScl,3.213930789,ok,3.250772575,12,44,48,3306
0.0025724880000000004,1.8888888888888888,18.625,307,33,2149,Continuous,53,59,2149,7,stationA6,220,578,220,9,1,2.959123,MaxSatDddLadderScl,0.000362146,ok,0.002934127,8,7,43,2149
0.002169702,2.914285714285714,12.625,126,33,1762,Continuous,54,83,1762,7,stationA7,278,612,278,16,1,2.595278,MaxSatDddLadderScl,0.000403418,ok,0.00257253,8,8,59,1762
0.125737364999992,6.84377838328792,19.88888931274414,4862,33,,Continuous,55,762,20290,34,stationA8,3011,7535,3011,728,1,120045.870169,MaxSatDddLadderScl,119.904627836,timeout,120.030364289,27,33,0,36820
0.09841472299999054,5.644768856447689,20.049999237060547,2616,33,,Continuous,56,744,6870,23,stationA9,1456,4640,1456,699,1,120298.311356,MaxSatDddLadderScl,120.183871217,timeout,120.282285193,20,39,5,10361
0.07211525900000026,4.801574803149606,18.176469802856445,1632,33,6565,Continuous,57,694,6565,24,stationA10,1419,3049,1419,551,1,28272.330973,MaxSatDddLadderScl,28.191914106,ok,28.264028613,17,63,78,6565
0.1654973760000047,6.841413311421529,20.482759475708008,6144,33,,Continuous,58,1355,5870,70,stationA11,3673,8326,3673,1322,1,120381.46164200001,MaxSatDddLadderScl,120.196349059,timeout,120.361845456,29,32,0,31539
0.184243763000012,6.998392282958199,21.714284896850586,6393,33,,Continuous,59,1622,7226,58,stationA12,3101,8706,3101,1593,1,121513.003173,MaxSatDddLadderScl,121.305914807,timeout,121.490157872,28,28,0,42568
0.07800380099999416,5.366043613707165,17.33333396911621,2022,25,,Continuous,60,474,4199,16,stationB1,1220,3445,1220,407,1,122327.572938,MaxSatDddLadderScl,122.238326869,timeout,122.316329796,18,42,24,4711
0.0019163010000000002,2.2287581699346406,14.800000190734863,87,25,4798,Continuous,61,37,4798,7,stationB2,100,341,100,7,1,2.348284,MaxSatDddLadderScl,0.000398395,ok,0.002314041,5,4,26,4798
0.0015028279999999999,2.9364161849710984,16.799999237060547,136,20,674,Continuous,62,48,674,8,stationB3,188,508,188,8,1,1.710697,MaxSatDddLadderScl,0.000187227,ok,0.001689599,5,5,33,674
0.07426390799999893,5.89209726443769,15.949999809265137,2246,25,62616,Continuous,63,659,62616,24,stationB4,1791,3877,1791,536,1,30144.20243,MaxSatDddLadderScl,30.061867668,ok,30.136130905,20,62,59,62616
0.00318243,3.7923497267759565,17.799999237060547,136,25,1485,Continuous,64,61,1485,12,stationB5,285,694,285,15,1,4.355536,MaxSatDddLadderScl,0.001104473,ok,0.004286242,5,15,29,1485
0.001450425,1.9554140127388535,15.199999809265137,93,25,461,Continuous,65,43,461,4,stationB6,118,307,118,5,1,1.727938,MaxSatDddLadderScl,0.000221249,ok,0.001671009,5,3,33,461
0.04305336300000029,6.310846560846561,15.25,2865,25,59333,Continuous,66,471,59333,33,stationB7,2119,4771,2119,393,1,9227.214317,MaxSatDddLadderScl,9.180060879,ok,9.223113699,24,67,9,59333
0.001495414,2.5467625899280577,13.399999618530273,72,25,2300,Continuous,67,71,2300,7,stationB8,161,354,161,11,2,1.758531,MaxSatDddLadderScl,0.000231252,ok,0.00172622,5,5,54,2300
0.002021667,3.50253807106599,13.571428298950195,150,25,12006,Continuous,68,55,12006,11,stationB9,269,690,269,18,1,2.563343,MaxSatDddLadderScl,0.000516562,ok,0.002537716,7,15,22,12006
0.0015086309999999999,1.679144385026738,12.857142448425293,126,25,8761,Continuous,69,34,8761,4,stationB10,63,314,63,8,1,1.728627,MaxSatDddLadderScl,0.000152963,ok,0.001652606,7,2,22,8761
0.09134173600000395,6.538364779874214,15.399999618530273,3202,25,,Continuous,70,716,72958,24,stationB11,2015,5198,2015,663,1,122803.94863,MaxSatDddLadderScl,122.69720867,timeout,122.788549452,25,52,0,74170
0.17798271199999505,5.745726495726496,16.214284896850586,970,25,16909,Continuous,71,1762,16909,31,stationB12,719,2689,719,1714,1,44086.784902,MaxSatDddLadderScl,43.886976486,ok,44.064957409,14,32,14,16909
