algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
2.339282071,4.529364440868866,20.931034088134766,5915,33,34,InfiniteSteps180,0,114,34,105,origA1,734,5630,734,12,1,2355.035793,MaxSatDddLadderScl,0.014422408,ok,2.353703747,29,32,68,34
0.038956515000000004,4.811282051282051,19.0,3735,33,37,InfiniteSteps180,1,143,37,108,origA2,827,4691,827,37,1,53.7378,MaxSatDddLadderScl,0.014478394,ok,0.053434328,25,37,67,37
0.023655528000000002,4.118852459016393,22.375,2061,33,14,InfiniteSteps180,2,140,14,104,origA3,410,3015,410,14,2,33.515057,MaxSatDddLadderScl,0.009693149,ok,0.03334794,16,19,106,14
0.01924777,4.407608695652174,19.214284896850586,1175,33,22,InfiniteSteps180,3,79,22,103,origA4,297,2433,297,22,1,23.01462,MaxSatDddLadderScl,0.00363705,ok,0.022884192,14,10,47,22
0.018246671000000002,4.371308016877637,19.25,876,33,19,InfiniteSteps180,4,74,19,103,origA5,230,2072,230,19,1,21.704027,MaxSatDddLadderScl,0.003342927,ok,0.02158887,12,7,48,19
0.015876830999999998,4.362745098039215,18.625,307,33,14,InfiniteSteps180,5,63,14,103,origA6,150,1335,150,14,1,17.613055,MaxSatDddLadderScl,0.001657978,ok,0.01753413,8,4,45,14
0.015363283,5.538095238095238,12.625,126,33,15,InfiniteSteps180,6,55,15,102,origA7,70,1163,70,15,1,16.799042,MaxSatDddLadderScl,0.001358983,ok,0.016721793,8,1,39,15
0.055877895,8.61322463768116,19.214284896850586,4877,33,136,InfiniteSteps180,7,219,136,118,origA8,3795,9509,3795,46,1,124.341457,MaxSatDddLadderScl,0.068017108,ok,0.123894259,28,146,25,136
0.038716799,5.35279805352798,20.049999237060547,2616,33,40,InfiniteSteps180,8,173,40,105,origA9,1043,4400,1043,40,1,55.362464,MaxSatDddLadderScl,0.016392679,ok,0.055108971,20,52,79,40
0.022316028,5.110236220472441,18.176469802856445,1632,33,33,InfiniteSteps180,9,119,33,106,origA10,569,3245,569,23,1,30.526725000000003,MaxSatDddLadderScl,0.008008916,ok,0.030321595,17,27,67,33
0.055184864,5.536065573770492,19.83333396911621,6162,33,25,InfiniteSteps180,10,118,25,107,origA11,1420,6754,1420,25,1,74.417441,MaxSatDddLadderScl,0.018867947,ok,0.074052035,30,65,26,25
0.058524146,5.543408360128617,21.714284896850586,6393,33,29,InfiniteSteps180,11,165,29,106,origA12,1687,6896,1687,29,1,85.616344,MaxSatDddLadderScl,0.026742271,ok,0.085265894,28,76,58,29
0.019548325,3.979750778816199,17.33333396911621,2022,25,7,InfiniteSteps180,12,33,7,103,origB1,23,2555,23,7,2,21.626141,MaxSatDddLadderScl,0.001893825,ok,0.021441507,18,0,23,7
0.013733322,4.738562091503268,14.800000190734863,87,25,5,InfiniteSteps180,13,20,5,102,origB2,28,725,28,5,1,14.088633999999999,MaxSatDddLadderScl,0.000322829,ok,0.014055529,5,3,12,5
0.016308076,5.416184971098266,16.799999237060547,136,20,7,InfiniteSteps180,14,63,7,103,origB3,133,937,133,7,1,17.587782,MaxSatDddLadderScl,0.001243753,ok,0.017551339,5,4,52,7
0.019555087999999998,4.437689969604863,15.949999809265137,2246,25,301,InfiniteSteps180,15,47,301,104,origB4,306,2920,306,10,1,22.496122,MaxSatDddLadderScl,0.002779235,ok,0.022333631,20,25,12,301
0.013304692,4.306010928961749,17.799999237060547,136,25,2,InfiniteSteps180,16,17,2,102,origB5,12,788,12,2,2,13.651208,MaxSatDddLadderScl,0.00030475,ok,0.013608909,5,0,12,2
0.013057183,4.273885350318471,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,101,origB6,0,671,0,2,1,13.141511,MaxSatDddLadderScl,4.6259e-05,ok,0.013102818,5,0,0,2
0.022503734,6.021164021164021,15.25,2865,25,370,InfiniteSteps180,18,66,370,110,origB7,1014,4552,1014,19,1,28.45717,MaxSatDddLadderScl,0.005713574,ok,0.028216705,24,47,0,370
0.013206968,4.669064748201439,13.399999618530273,72,25,6,InfiniteSteps180,19,6,6,101,origB8,0,649,0,6,1,13.326492,MaxSatDddLadderScl,8.0385e-05,ok,0.013286685,5,0,0,6
0.014825678,5.873096446700508,13.571428298950195,150,25,35,InfiniteSteps180,20,52,35,105,origB9,182,1157,182,8,1,16.183021999999998,MaxSatDddLadderScl,0.001289408,ok,0.016114489,7,8,36,35
0.015016833000000002,6.3052631578947365,11.375,130,25,34,InfiniteSteps180,21,34,34,103,origB10,86,1198,86,10,1,15.999662,MaxSatDddLadderScl,0.000909149,ok,0.015925412,8,2,22,34
0.03212985000000001,7.510691823899371,15.399999618530273,3202,25,425,InfiniteSteps180,22,198,425,113,origB11,1861,5971,1861,29,14,68.88823199999999,MaxSatDddLadderScl,0.03648521,ok,0.068614498,25,152,4,425
0.017082113,4.121794871794871,16.214284896850586,970,25,6,InfiniteSteps180,23,15,6,102,origB12,27,1929,27,6,1,17.816405,MaxSatDddLadderScl,0.000626478,ok,0.017708141,14,0,9,6
0.06146230700000001,6.605792437650845,20.931034088134766,5915,33,60,InfiniteSteps180,24,156,60,116,trackA1,2525,8211,2525,25,2,90.620971,MaxSatDddLadderScl,0.028723218,ok,0.090184981,29,94,34,60
0.051649490000000006,7.507692307692308,19.0,3735,33,48,InfiniteSteps180,25,220,48,114,trackA2,2458,7320,2458,48,1,95.00824200000001,MaxSatDddLadderScl,0.043001258,ok,0.094650212,25,89,81,48
0.029055106,6.28551912568306,22.375,2061,33,18,InfiniteSteps180,26,159,18,110,trackA3,1453,4601,1453,18,1,45.333413,MaxSatDddLadderScl,0.016071958,ok,0.045126472,16,57,84,18
0.022104643,5.523550724637682,19.214284896850586,1175,33,18,InfiniteSteps180,27,123,18,110,trackA4,713,3049,713,18,1,30.698534,MaxSatDddLadderScl,0.008440124,ok,0.0305442,14,29,76,18
0.018718931,5.19620253164557,19.25,876,33,19,InfiniteSteps180,28,85,19,106,trackA5,498,2463,498,19,2,23.29541,MaxSatDddLadderScl,0.004437033,ok,0.023155311,12,26,39,19
