algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
0.144373407,3.339501206757844,20.931034088134766,5915,33,34,InfiniteSteps180,0,183,34,26,origA1,149,4151,2188,182,1,186.294331,SatDddScl,0.040756111,ok,184.786035,41.787242,184.786035,171.294185,0.185129198,29,91,86,34,1
0.044017513,4.88,19.0,3735,33,37,InfiniteSteps180,1,180,37,27,origA2,200,4758,2810,179,1,82.78701600000001,SatDddScl,0.038418587,ok,82.427199,21.226458,82.427199,57.608858999999995,0.082435849,25,112,62,37,1
0.028984495000000002,4.442622950819672,22.375,2061,33,14,InfiniteSteps180,2,137,14,22,origA3,116,3252,1939,137,1,60.436345,SatDddScl,0.031213727,ok,11.534282,11.534282,60.18974,60.18974,0.060197911,16,75,58,14,1
0.016113121,2.8967391304347827,19.214284896850586,1175,33,22,InfiniteSteps180,3,63,22,16,origA4,52,1599,778,63,1,22.119257,SatDddScl,0.005871011,ok,11.267878,11.267878,21.974423,21.974423,0.021983828,14,31,27,22,1
0.015357188,2.710970464135021,19.25,876,33,19,InfiniteSteps180,4,63,19,13,origA5,38,1285,627,63,1,21.288746,SatDddScl,0.005815522,ok,11.289416,11.289416,21.164362,21.164362,0.021172431,12,22,36,19,1
0.014551330000000001,2.5947712418300655,18.625,307,33,14,InfiniteSteps180,5,96,14,9,origA6,18,794,390,95,1,22.699707,SatDddScl,0.007993632,ok,22.53719,11.278649,22.53719,18.334057,0.022544661,8,11,80,14,1
0.013245716000000001,2.8523809523809525,12.625,126,33,15,InfiniteSteps180,6,51,15,9,origA7,19,599,296,51,1,17.408168000000003,SatDddScl,0.004038837,ok,11.290902,11.290902,17.275222,17.275222,0.01728423,8,7,40,15,1
0.1263537640000001,16.284420289855074,19.214284896850586,4877,33,136,InfiniteSteps180,7,330,136,94,origA8,1105,17978,11682,329,1,821.715632,SatDddScl,0.693713277,ok,820.056556,21.496346,820.056556,730.8023529999999,0.820066747,28,237,85,136,1
0.04255683,5.63625304136253,20.049999237060547,2616,33,40,InfiniteSteps180,8,170,40,27,origA9,204,4633,2835,169,2,88.985802,SatDddScl,0.046063503,ok,88.611118,21.539259,88.611118,67.017445,0.08862006,20,92,71,40,1
0.024637660999999998,5.245669291338583,18.176469802856445,1632,33,33,InfiniteSteps180,9,140,33,31,origA10,132,3331,2056,139,1,51.088406000000006,SatDddScl,0.026179412,ok,50.808944000000004,11.288086,50.808944000000004,37.723665000000004,0.050816791,17,71,63,33,1
